Date,Open,High,Low,Close,Volume,Change
2007-08-14,207889,225839,204908,225841,7795481,0.143944727817934
2007-08-16,224363,251274,192943,230327,18830398,0.019863532308128207
2007-08-17,236323,243800,195942,195928,8629201,-0.14934853490906408
2007-08-20,174987,188456,167510,167510,12497698,-0.14504307704871178
2007-08-21,173505,191440,169010,191441,7840447,0.14286311264999108
2007-08-22,213879,219857,179478,219858,15919326,0.14843737757324704
2007-08-23,228838,233318,198932,207892,9853330,-0.05442603862493067
2007-08-24,207890,233317,188457,216866,14285796,0.04316664421911387
2007-08-27,221359,222857,206406,209388,4444596,-0.03448212260105321
2007-08-28,209389,221360,197432,200414,8891922,-0.04285823447379988
2007-08-29,188465,195942,172013,179476,10531959,-0.10447373935952575
2007-08-30,186967,188465,179490,179476,3932847,0.0
2007-08-31,182470,189962,182470,188450,4393657,0.05000111435512267
2007-09-03,195937,215385,192940,215371,13083954,0.1428548686654285
2007-09-04,215376,245282,200408,203406,23465568,-0.05555529760274136
2007-09-05,209389,233317,198931,233319,25772352,0.14706055868558443
2007-09-06,233316,267717,231833,267718,45156395,0.14743334233388627
2007-09-07,269223,299145,252770,272205,42493158,0.016760173017877023
2007-09-10,275205,312587,273706,303613,27078678,0.11538362631105237
2007-09-11,320074,320074,279693,290152,31581282,-0.04433604621672982
2007-09-12,287174,296149,246794,246779,17184920,-0.14948371887838097
2007-09-13,239312,266238,236316,257248,10674749,0.0424225724230991
2007-09-14,257260,279689,249783,258744,13901079,0.00581539992536384
2007-09-17,296134,296134,296134,296135,3735584,0.1445096311412053
2007-09-18,305108,339508,294635,305108,30075846,0.030300369763790247
2007-09-19,323063,323063,261738,276692,14732613,-0.09313423443501978
2007-09-20,276694,296142,255762,275196,9879180,-0.005406733841238687
2007-09-21,279685,284165,257257,269214,5105511,-0.021737234552827833
2007-09-27,269215,275208,231832,251266,8416576,-0.06666815247349689
2007-09-28,248290,288671,242297,288657,9064231,0.1488104240127992
2007-10-01,294635,302112,252759,270710,12046560,-0.06217413747111622
2007-10-02,270707,270707,248279,254257,7785136,-0.06077721547042958
2007-10-04,251272,284176,236319,255753,21339337,0.005883810475227902
2007-10-05,249789,249789,218368,222849,9764905,-0.12865538234155616
2007-10-08,212384,236312,201911,209388,15469090,-0.060404130150909396
2007-10-09,215391,228846,201920,212379,13703318,0.01428448621697509
2007-10-10,207897,224365,206414,221354,7943921,0.04225935709274453
2007-10-11,215378,218360,207886,210884,6861556,-0.047299800319849705
2007-10-12,206410,222862,203414,215371,8439731,0.021277100206748667
2007-10-15,246794,246794,233323,246779,11124398,0.145832075813364
2007-10-16,239316,252772,210893,213875,10568329,-0.1333338736278209
2007-10-17,212392,213891,191445,204901,5061336,-0.041959088252483956
2007-10-18,203407,233313,198927,227336,7556619,0.10949190096680828
2007-10-19,222863,260247,212390,239301,34324803,0.05263134743287479
2007-10-22,233319,239312,216867,224345,19046835,-0.06249869411327158
2007-10-23,230340,251272,224362,239301,18199400,0.06666518085983641
2007-10-24,233325,242299,218371,221354,15896313,-0.0749975971684197
2007-10-25,230337,234817,221363,224345,7075719,0.01351229252690267
2007-10-26,233316,236313,224356,225841,8296971,0.006668301054179926
2007-10-29,227348,230345,207898,212379,5991520,-0.059608308500228024
2007-10-30,213883,215381,204908,209388,3360627,-0.014083313321938573
2007-10-31,209388,210886,203410,209388,2995663,0.0
2007-11-01,221365,239316,218368,239301,15262929,0.14285918963837463
2007-11-02,218364,225841,209389,216866,6367821,-0.09375222000743832
2007-11-05,215381,215381,198930,209388,4911523,-0.03448212260105321
2007-11-06,209390,212387,204910,207892,2839175,-0.007144631019924685
2007-11-07,212384,224355,207889,209388,4698877,0.007196044099821108
2007-11-08,206411,212390,203414,206397,2117365,-0.0142844862169752
2007-11-09,206401,209383,197427,203406,2201175,-0.014491489701885185
2007-11-12,198930,210887,197432,200414,2505387,-0.014709497261634397
2007-11-13,200421,203418,180987,188450,1938194,-0.059696428393225975
2007-11-14,194439,198934,185465,189945,1482162,0.007933138763597691
2007-11-15,192936,200412,182462,192936,3923976,0.015746663507857583
